speaker,videos,average_popularity_score,viral_rate,viral_consistency,viral_presence,wikipedia_numeric,comprehensive_popularity_score
Tristan Harris,3,2041.74,33.33333333333333,1,1,1,21.99474581047445
Vishaan Chakrabarti,3,938.01,0.0,0,0,1,7.515235005192879
Xiye Bastida,3,829.23,0.0,0,0,1,7.320145568192156
Alison Killing,3,721.6,0.0,0,0,1,7.127118576976972
Zeynep Tufekci,3,719.21,0.0,0,0,1,7.122832276605289
Erin McKean,2,401.01,0.0,0,0,1,6.552162494902493
Anindya Kundu,2,1158.31,0.0,0,0,0,2.0769725775927332
Elizabeth Gilbert,2,2184.2,50.0,1,1,1,28.083593310389194
Jessica Green,2,403.56,0.0,0,0,0,0.7233804413885061
Elizabeth Lesser,2,495.99,0.0,0,0,1,6.72250258247676
Cesar Harada,2,350.6,0.0,0,0,0,0.6284003293866832
Alanna Shaikh,2,1066.69,0.0,0,0,0,1.9126584185744737
Gayle Tzemach Lemmon,2,233.92,0.0,0,0,1,6.252498089419399
Isabel Allende,2,910.4,0.0,0,0,1,7.465718372028789
Anjan Sundaram,2,661.38,0.0,0,0,1,7.019118155059491
Dolores Huerta,2,822.89,0.0,0,0,1,7.308775214904929
Joe Davis,2,845.74,0.0,0,0,1,7.349755115948012
David Epstein,2,1631.76,50.0,1,1,0,21.259474920774537
Jamil Zaki,2,1173.23,50.0,1,1,0,20.437132950302562
Gretchen Carlson,2,474.92,0.0,0,0,1,6.684714988823466
Don Tapscott,2,1230.94,50.0,1,1,1,26.373987162978747
John McWhorter,2,1057.31,0.0,0,0,1,7.729191337553481
David Gallo,2,997.42,50.0,1,1,1,25.95518512833626
Bill Gross,2,1604.04,50.0,1,1,0,21.20976101018748
Jeff Speck,2,582.46,0.0,0,0,1,6.8775805712380444
César Cuauhtémoc García Hernández,2,677.01,0.0,0,0,1,7.047149483431631
César Hidalgo,2,476.15,0.0,0,0,1,6.686920909098433
