speaker,videos,average_popularity_score,viral_rate,viral_consistency,viral_presence,wikipedia_numeric,comprehensive_popularity_score
Rebeca Hwang,2,408.24,0.0,0,0,0,0.7317736990200872
Rebecca MacKinnon,2,257.92,0.0,0,0,1,6.295540436248021
Rebecca Onie,2,514.91,0.0,0,0,1,6.756434299226655
Refik Anadol,2,871.14,0.0,0,0,1,7.395308266341635
Reggie Watts,2,2034.69,50.0,1,1,1,27.81545742395807
Renny Gleeson,2,317.91,0.0,0,0,1,6.403128369008392
Renzo Vitale,2,389.48,0.0,0,0,0,0.6981289312490487
Resistance Revival Chorus,2,2.77,0.0,0,0,0,0.004591183661719538
Hany Farid,2,4170.06,50.0,1,1,1,31.64509643010106
Richard St. John,2,1655.49,50.0,1,1,0,21.302033041201334
Richard Wilkinson,2,1015.94,0.0,0,0,0,1.8216417893431196
James Veitch,2,24109.39,100.0,2,1,0,79.90495839893127
Rob Reid,2,839.64,0.0,0,0,1,7.338815186129071
Clint Smith,2,988.58,0.0,0,0,1,7.6059288168230195
Robert Gupta,2,472.51,0.0,0,0,0,0.8470375169648976
Robert Muggah,2,373.58,0.0,0,0,1,6.502968679339614
Harald Haas,2,667.3,0.0,0,0,1,7.029735267277218
Robert Thurman,2,213.85,0.0,0,0,1,6.2165039268839655
Robert Wright,2,182.93,0.0,0,0,0,0.32769573385523204
Robin Chase,2,161.96,0.0,0,0,1,6.123442786178252
Robin Hauser,2,826.08,0.0,0,0,0,1.481140957306373
Robin Steinberg,2,987.9,0.0,0,0,1,7.604709283662875
Rodney Brooks,2,219.72,0.0,0,0,1,6.227031367545799
Rokia Traore,2,33.24,0.0,0,0,1,5.892592332687417
Roman Krznaric,2,1155.41,0.0,0,0,1,7.905126930215468
Eli Pariser,2,1103.28,0.0,0,0,1,7.81163536604147
Carolyn Porco,2,332.49,0.0,0,0,1,6.4292765947067805
Rose George,2,393.63,0.0,0,0,1,6.538926973252692
Rose M. Mutiso,2,890.84,0.0,0,0,0,1.5972835564989345
Ryan Martin,2,814.22,0.0,0,0,0,1.459870864248563
