,speaker,video_ids,videos,views,topics,average_views
2540,Khalil Ramadi,[76218],1,1297530,"[""health, biology, medicine, brain, TED Fellows, Alzheimer's, electricity""]",1297530.0
2541,Khulan Batkhuyag,[66872],1,1742723,"['climate change, environment, sustainability, nature, travel, Asia, conservation']",1742723.0
2542,Kiah Williams,[65392],1,1576540,"['innovation, health care, medicine, public health, The Audacious Project, equality']",1576540.0
2543,Kiana Hayeri,[93281],1,1675299,"['art, war, photography, violence, humanity, TED Fellows, Middle East']",1675299.0
2544,Kid Cudi,[66711],1,8132442,"['music, personal growth']",8132442.0
17,Abbas Ardehali,[125536],1,508072,"['technology, education, innovation, health, health care, medicine, Surgery, human body, heart']",508072.0
2546,Kim Katrin Milan,[2635],1,1804149,"['collaboration, social change, art, gender, relationships, activism, poetry, happiness, women, humanity, compassion, writing, society, beauty, family, identity, feminism, Transgender, equality, LGBTQIA+']",1804149.0
2547,Kim Scott,[125966],1,1116617,"['business, leadership, work, personal growth, TEDx']",1116617.0
2548,Kim Stanley Robinson,[80104],1,1806280,"['climate change, future, storytelling, humanity, science fiction, Countdown']",1806280.0
2549,Kimberley Motley,[2118],1,1251882,"['global issues, women, law, crime']",1251882.0
2550,Kimberly Noble,[37739],1,2539738,"['economics, social change, parenting, poverty, brain, neuroscience, money, kids, equality']",2539738.0
2551,Kimberlé Crenshaw,[2629],1,7327819,"['social change, gender, community, activism, race, women, violence, humanity, society, identity, equality']",7327819.0
2552,Kimberose,[83265],1,6166,['music'],6166.0
2553,Kings Floyd,[54971],1,20998,"['design, architecture, innovation, society, disability']",20998.0
2554,Kio Stark,[2574],1,3460556,"['communication, community, anthropology, humanity, TED Books, society, personality, friendship']",3460556.0
2555,Kiran Bedi,[1032],1,1837756,"['culture, global issues, education, social change, crime, india']",1837756.0
2556,Kiran Bhat,[156781],1,40139,"['technology, design, engineering, computers, entertainment, media, creativity, AI, gaming']",40139.0
2557,Kiran Mazumdar-Shaw,[75479],1,580470,"['science, collaboration, health care, public health, Vaccines, medical research, pandemic, india, coronavirus']",580470.0
2558,Kiran Sethi,[735],1,1777947,"['education, social change, society, india, kids']",1777947.0
2559,Kirby Ferguson,[1535],1,1648410,"['creativity, art']",1648410.0
2560,Kirk Citron,[811],1,827941,"['global issues, science, media, future, journalism']",827941.0
2561,Kirk Sorensen,[1324],1,694929,"['technology, TEDx, nuclear energy, renewable energy']",694929.0
2562,Kirsten Banks,[125464],1,127456,"['culture, science, astronomy, space, ancient world']",127456.0
2563,Kirsten Hall,[18812],1,90906,"['business, work, women in business']",90906.0
2564,Kirsti Abbott,[21922],1,16902,"['science, insects, discovery, ecology']",16902.0
2565,Kirsty Duncan,[15275],1,1370420,"['science, education, social change, personal growth, society, government, discovery']",1370420.0
2566,Kishore Mahbubani,[43852],1,2513500,"['culture, global issues, politics, collaboration, future, United States, Asia, humanity, Europe, government, international development']",2513500.0
18,Abbey Williams,[19072],1,12659,"['cities, art, exploration']",12659.0
2568,Klaus Stadlmann,[1299],1,392915,"['technology, design, engineering, industrial design, TEDx']",392915.0
2569,Kluane Adamek,[68122],1,1421374,"['culture, history, leadership, women, women in business, society']",1421374.0
2570,Knut Haanaes,[2470],1,2362896,"['business, innovation, creativity, leadership, success, work, motivation, potential, curiosity, goals']",2362896.0
2571,Knut Ivar Bjørlykhaug,[74003],1,1435831,"['climate change, environment, nature, activism, TEDx, emotions']",1435831.0
2572,Kola Masha,[19266],1,1269353,"['global issues, innovation, social change, Africa, future, community, potential, humanity, society, agriculture, farming']",1269353.0
2573,Kotchakorn Voraakhom,[31466],1,1999126,"['climate change, environment, sustainability, design, architecture, cities, urban planning, nature, community, TED Fellows, infrastructure']",1999126.0
2574,Kris Alexander,[107970],1,1835029,"['technology, entertainment, education, social change, health, gaming, Internet, teaching']",1835029.0
2575,Kris De Meyer,[145018],1,346607,"['climate change, science, brain, decision-making, neuroscience, Countdown']",346607.0
2576,Krista Donaldson,[1895],1,1175614,"['design, innovation']",1175614.0
19,Abdoulaye Diabaté,[135145],1,467242,"['science, DNA, genetics, health, Africa, community, public health, human body']",467242.0
2578,Kristalina Georgieva,[63575],1,328354,"['politics, business, economics, leadership, finance, pandemic, coronavirus, equality']",328354.0
2579,Kristen Ashburn,[381],1,537102,"['global issues, science, media, disease, health, Africa, activism, photography, AIDS']",537102.0
20,Abe Davis,[2246],1,1529784,"['technology, computers, software']",1529784.0
2581,Kristen Nguyen,[104497],1,1621279,"['education, social change, health, psychology, community, parenting, TED-Ed, teaching, emotions, kids']",1621279.0
2582,Kristen Warren,[95655],1,1594219,"['climate change, music, social change, art, activism, society, Countdown']",1594219.0
2583,Kristen Wenz,[57186],1,2253282,"['global issues, social change, health care, government, policy, human rights, kids, international development, equality']",2253282.0
2584,Kristi Rogers,[5136],1,76597,"['marketing, communication, data, finance']",76597.0
2585,Kristie Ebi,[48858],1,2373441,"['climate change, environment, science, sustainability, food, nature, biology, future, agriculture, plants, Anthropocene']",2373441.0
2586,Kristie Overstreet,[3328],1,1804680,"['health, health care, medicine, TEDx, Transgender']",1804680.0
2587,Kristin Barry,[117490],1,860283,"['science, brain, neuroscience, sound, medical research']",860283.0
2588,Kristin Jones,[67043],1,1776209,"['social change, parenting, mental health, sexual violence, kids']",1776209.0
2589,Kristin Poinar,[3136],1,5003150,"['climate change, environment, science, technology, nature, physics, exploration, water, space, data, Antarctica, glaciers']",5003150.0
2590,Kristina Gjerde,[1011],1,434840,"['global issues, politics, science, law, Mission Blue, ocean']",434840.0
21,Abeer Seikaly,[25999],1,51886,"['culture, design, architecture, innovation, refugees']",51886.0
2592,Kristy Ellmer,[145675],1,519310,"['business, leadership, personal growth']",519310.0
2593,Kriti Sharma,[36479],1,2410273,"['technology, computers, software, social change, activism, product design, AI, TEDx, algorithm, code, machine learning, diversity, equality']",2410273.0
2594,Ksenia Petrichenko,[104427],1,1590618,"['climate change, technology, design, innovation, future, pollution, Countdown']",1590618.0
2595,Kwabena Boahen,[320],1,773119,"['science, technology, design, engineering, computers, brain, visualizations']",773119.0
2596,Kwame Anthony Appiah,[2011],1,1986332,"['global issues, philosophy, religion, Christianity, atheism, Islam, Judaism, Hinduism']",1986332.0
2597,Kwame Owusu-Kesse,[65074],1,1765106,"['education, health, health care, community, race, public health, pandemic, The Audacious Project, coronavirus, equality']",1765106.0
2598,Kyle Quinn,[16820],1,38353,"['culture, global issues, love, humanity, immigration']",38353.0
2599,Kym Worthy,[23515],1,1780127,"['collaboration, social change, activism, women, society, crime, sexual violence, justice system']",1780127.0
2600,Kyra Gaunt,[93269],1,1686455,"['culture, entertainment, music, social change, dance, TED Fellows']",1686455.0
2601,LADAMA,[30298],1,199889,"['music, performance, TED en Español']",199889.0
2602,LB Hannahs,[13465],1,1450226,"['social change, gender, parenting, society, TEDx, Transgender']",1450226.0
2603,LZ Granderson,[1478],1,1770854,"['social change, gender, love, humor, sex, TEDx, equality, LGBTQIA+']",1770854.0
22,Abha Dawesar,[1856],1,1392222,"['culture, technology, entertainment, storytelling, communication']",1392222.0
2605,Laetitia Ky,[124694],1,560333,"['social change, Africa, creativity, art, women, feminism']",560333.0
2606,Lake Buckley,[14610],1,14978,"['film, visualizations']",14978.0
2607,Lakshmi Pratury,[201],1,853051,"['relationships, communication, community, parenting, writing']",853051.0
2608,Lalitesh Katragadda,[736],1,431360,"['technology, design, cities, collaboration, maps']",431360.0
2609,Lam Ho,[103434],1,1394899,"['social change, law, family, TED Fellows, inclusion, human rights']",1394899.0
