,speaker,video_ids,videos,views,topics,average_views
1269,Edith Elliott,[91524],1,1848013,"['health, health care, love, relationships, humanity, family, The Audacious Project']",1848013.0
1271,Edo Liberty,[121071],1,17737,"['technology, computers, education, innovation, philosophy, AI, data, machine learning']",17737.0
1272,Edsel Salvaña,[8786],1,1419528,"['science, AIDS, virus, TED Fellows, medical research']",1419528.0
1273,Eduardo Briceño,[2679],1,4704655,"['performance, education, psychology, motivation, personal growth, self, TEDx, mindfulness, teaching, work-life balance, goals']",4704655.0
1274,Eduardo Paes,[1429],1,948509,"['technology, cities, urban planning, Brazil, TED Prize, South America, infrastructure']",948509.0
1275,Eduardo Sáenz de Cabezón,[2186],1,2132516,"['science, humor, math, TEDx, TED en Español']",2132516.0
1277,Edward Saatchi,[121105],1,10073,"['technology, computers, entertainment, AI, machine learning']",10073.0
1278,Edward Snowden,[1950],1,5921611,"['law, Internet, journalism, surveillance, encryption']",5921611.0
1280,Efosa Ojomo,[49046],1,2180800,"['global issues, business, corruption, innovation, social change, Africa, poverty, society, investing']",2180800.0
1281,Eileen Isagon Skyers,[115885],1,1038332,"['technology, design, computers, robots, creativity, art, AI, painting, virtual reality, machine learning, NFTs']",1038332.0
1282,Einav Gefen,[20463],1,8766,"['food, health, family']",8766.0
1283,Einstein the Parrot,[334],1,3189193,"['entertainment, performance, education, animals']",3189193.0
1284,Elaine Fong,[71487],1,1533919,"['death, health, health care, cancer, medicine, society, TEDx']",1533919.0
1285,Elaine Morgan,[607],1,1490297,"['science, primates, evolution']",1490297.0
1286,Eldra Jackson,[29414],1,1783923,"['culture, social change, gender, communication, activism, personal growth, humanity, society, prison, identity']",1783923.0
1287,Eleanor Longden,[1800],1,6135690,"['health, health care, mental health']",6135690.0
1288,Eleftheria Pissadaki,[10365],1,11342,"['brain, neuroscience, medical research']",11342.0
1289,Elena Chavez Quezada,[24874],1,11670,"['social change, gender, aging, women, money, finance']",11670.0
1290,Elena Crescia,[97979],1,39505,"['technology, business, entrepreneur, social change, money, finance, investing']",39505.0
1291,Eleni Gabre-Madhin,[185],1,853090,"['global issues, technology, business, economics, food, women in business, finance']",853090.0
1292,Eleni Myrivili,[95520],1,2401508,"['climate change, environment, science, sustainability, cities, urban planning, social change, health, weather, infrastructure, Countdown']",2401508.0
1293,Eli Beer,[1799],1,1166709,"['health, health care, medicine, TEDMED']",1166709.0
1295,Elias Weiss Friedman,[144182],1,368564,"['culture, animals, photography, society']",368564.0
1296,Eliezer Yudkowsky,[114533],1,1456239,"['science, technology, future, AI, machine learning']",1456239.0
1298,Elijah Cummings,[51149],1,65936,['global issues'],65936.0
1299,Elisabeth Pierre,[61551],1,7024,"['innovation, food, history, women, society']",7024.0
1300,Elise Hu,[142043],1,458829,"['culture, technology, AI, society, beauty, social media, human body, kids']",458829.0
1301,Elise LeGrow,[22703],1,330776,"['entertainment, music, performance']",330776.0
1302,Elise Payzan-LeNestour,[21909],1,58709,"['psychology, decision-making, neuroscience, money, behavioral economics']",58709.0
1303,Elise Roy,[2529],1,1675006,"['design, collaboration, innovation, communication, personal growth, society, TEDx, disability']",1675006.0
1304,"Elizabeth ""Zibi"" Turtle",[65432],1,1949708,"['science, technology, exploration, Moon, Planets, space']",1949708.0
1305,Elizabeth Blackburn,[2868],1,2505761,"['science, DNA, innovation, health, nature, biology, aging, bioethics, discovery, human body']",2505761.0
1306,Elizabeth Camarillo Gutierrez,[60135],1,2121784,"['personal growth, self, humanity, society, immigration']",2121784.0
1307,Elizabeth Cawein,[17909],1,1436585,"['culture, entertainment, music, performance, cities, creativity, art, TEDx']",1436585.0
1308,Elizabeth Diller,[69662],1,298991,"['design, architecture, cities, urban planning, public space']",298991.0
1309,Elizabeth Dunn,[39981],1,4505195,"['science, social change, psychology, community, happiness, humanity, society']",4505195.0
1311,Elizabeth Howell,[45411],1,2084621,"['health, health care, biology, race, parenting, United States, women, family, TEDMED, pregnancy, kids, equality']",2084621.0
1313,Elizabeth Lev,[2415],1,1904625,"['culture, creativity, art, history, religion, Christianity, visualizations, museums, beauty, painting']",1904625.0
1314,Elizabeth Lindsey,[1081],1,584263,"['storytelling, anthropology']",584263.0
1315,Elizabeth Loftus,[1826],1,6821612,"['science, memory, cognitive science, psychology, brain, mental health, crime, neuroscience, sight, medical research, bioethics, ethics']",6821612.0
1316,Elizabeth Lyle,[28438],1,2886906,"['business, collaboration, communication, leadership, happiness, success, work, personal growth, potential, trust']",2886906.0
1317,Elizabeth Murchison,[1229],1,584270,"['science, animals, cancer, biology']",584270.0
1318,Elizabeth Nyamayaro,[2311],1,1504753,"['global issues, gender, activism, women, humanity, equality']",1504753.0
1319,Elizabeth Pisani,[818],1,1793819,"['global issues, health, health care, AIDS, sex']",1793819.0
1320,Elizabeth Stordeur Pryor,[60193],1,2345784,"['culture, education, history, storytelling, communication, race, society, TEDx']",2345784.0
1321,Elizabeth Streb,[20779],1,1530099,"['flight, performance, art, sports, humanity, human body']",1530099.0
1322,Elizabeth Strickler,[90008],1,2118081,"['technology, entrepreneur, art, TEDx, money, Internet, data, blockchain, metaverse, NFTs']",2118081.0
1323,Elizabeth Wayne,[3231],1,1547386,"['science, cancer, TED Fellows, human body']",1547386.0
1324,Elizabeth White,[19883],1,2100994,"['economics, community, aging, success, work, self, TEDx, money, finance']",2100994.0
1325,Elizabeth Zion,[84369],1,1827360,"['social change, humanity, society, family, immigration, human rights']",1827360.0
1327,Elle Cordova,[139363],1,606170,"['music, performance, poetry, universe, space, humanity, Big Bang, Life']",606170.0
1328,Ellen 't Hoen,[1627],1,452476,"['science, invention, business, software, collaboration, social change, disease, health, health care, history, activism, medicine, AIDS, illness, public health, society, TEDx, medical research, pandemic, bioethics, drugs, ethics']",452476.0
1329,Ellen Agler,[57606],1,347951,"['disease, health, Africa, future, humanity, illness, public health, The Audacious Project']",347951.0
1330,Ellen Dunham-Jones,[898],1,810846,"['design, cities, urban planning, TEDx, infrastructure']",810846.0
1331,Ellen Gustafson,[910],1,856375,"['global issues, social change, food, health, TEDx']",856375.0
1333,Ellen Støkken Dahl,[9126],1,1808011,"['education, social change, communication, activism, medicine, women, humanity, sex, society, TEDx, medical research, human body']",1808011.0
1334,Ellen Trachman,[93271],1,1803743,"['technology, law, family, TEDx, policy, pregnancy, LGBTQIA+']",1803743.0
1335,Elliot Krane,[1148],1,2226615,"['science, health, health care, brain']",2226615.0
1337,Elora Hardy,[2251],1,6255112,"['sustainability, design, architecture']",6255112.0
1338,Elsbeth Magilton,[125219],1,24184,"['education, social change, storytelling, space, law']",24184.0
1339,Elyn Saks,[1494],1,5304087,"['health care, brain, depression, mental health']",5304087.0
1340,Eman Mohammed,[2095],1,1546484,"['global issues, gender, photography, women, TED Fellows, Middle East, journalism']",1546484.0
1341,Emeli Sandé,[43649],1,47833,"['entertainment, music, performance']",47833.0
1342,Emilie Wapnick,[2341],1,9225045,"['education, creativity, work, personal growth, identity, curiosity, TEDx']",9225045.0
1343,Emilie Weight,[8592],1,40318,"['parenting, disability, kids']",40318.0
1344,Emily Anhalt,[53326],1,306769,"['health, happiness, mental health, public health, emotions']",306769.0
1345,Emily Balcetis,[2140],1,4330509,"['health, psychology, motivation, decision-making, TEDx, exercise']",4330509.0
1346,Emily Esfahani Smith,[2861],1,15066356,"['psychology, relationships, storytelling, happiness, personal growth, humanity']",15066356.0
1347,Emily F. Rothman,[48493],1,3649725,"['media, education, social change, communication, parenting, women, sex, Internet, teaching, sexual violence, kids']",3649725.0
1348,Emily Grubert,[108393],1,1382143,"['climate change, economics, urban planning, social change, future, energy, policy, infrastructure, Countdown, renewable energy, fossil fuels']",1382143.0
1349,Emily Jaenson,[96611],1,5461211,"['business, leadership, work, potential, women in business']",5461211.0
1350,Emily King,[65193],1,3343,"['music, performance']",3343.0
1351,Emily Leproust,[72807],1,1347590,"['environment, science, sustainability, technology, DNA, education, innovation, health, nature, biology']",1347590.0
1352,Emily Levesque,[69784],1,460872,"['science, technology, history, astronomy, space, TEDx']",460872.0
1355,Emily Oster,[143],1,971117,"['global issues, science, economics, health, Africa, statistics, AIDS']",971117.0
1356,Emily Parsons-Lord,[2667],1,1024642,"['environment, global issues, biosphere, performance, animals, nature, art, future, history, pollution, demo, ancient world, dinosaurs, TEDx, Anthropocene']",1024642.0
1357,Emily Pilloton,[1002],1,1121980,"['design, education, poverty']",1121980.0
1358,Emily Pilloton-Lam,[87043],1,2766671,"['gender, work, women, women in business, equality']",2766671.0
1359,Emily Quinn,[31813],1,3026571,"['science, social change, health, gender, biology, activism, humanity, sex, society, human body']",3026571.0
1361,Emma Bridgewater,[5146],1,9731,"['culture, design, entrepreneur, history']",9731.0
1362,Emma Hart,[88952],1,1829991,"['science, sustainability, technology, computers, innovation, robots, evolution, exploration, discovery']",1829991.0
1363,Emma Marris,[2551],1,1679632,"['climate change, environment, sustainability, animals, nature, parenting, biodiversity, trees, agriculture, bioethics, teaching, ecology, plants, natural resources, Anthropocene, fungi, kids, gardening']",1679632.0
1364,Emma Nehrenheim,[118063],1,645461,"['climate change, science, sustainability, technology, business, innovation, energy, Countdown, renewable energy']",645461.0
1365,Emma Rodero,[12729],1,5743285,"['education, communication, language, sound']",5743285.0
1366,Emma Schachner,[55546],1,460778,"['science, history, paleontology, dinosaurs, TEDx']",460778.0
1367,Emma Teeling,[1605],1,582253,"['environment, science, DNA, genetics, disease, animals, evolution, biology, biomimicry, aging, biodiversity, insects, TEDx, sight, disability, ecology, hearing']",582253.0
1368,Emmanuel Acho,[117221],1,1190000,"['sports, success, motivation, personal growth, goals']",1190000.0
1369,Emmanuel Jal,[615],1,1062493,"['global issues, politics, entertainment, music, performance, poetry, war']",1062493.0
1370,Emmanuel Schanzer,[21906],1,484539,"['technology, computers, education, math, teaching']",484539.0
1371,Emmett Shear,[48847],1,397360,"['technology, entertainment, social change, community, gaming, society, Internet']",397360.0
1372,Emtithal Mahmoud,[2722],1,1231157,"['performance, Africa, art, storytelling, communication, poetry, war, language, spoken word, humanity, writing, family, identity, TEDMED, refugees, kids']",1231157.0
1374,Enrico Ramirez-Ruiz,[53522],1,2268406,"['science, evolution, astronomy, universe, visualizations, space, humanity, solar system, human body']",2268406.0
1375,Enrique Peñalosa,[1886],1,987068,"['sustainability, design, cities, South America, infrastructure']",987068.0
1376,Enzo Romero,[97408],1,1483001,"['technology, design, invention, innovation, health, prosthetics, TED Fellows, 3D printing']",1483001.0
1377,Erez Yoeli,[27155],1,2510067,"['science, social change, community, motivation, humanity, society, TEDx, ethics']",2510067.0
